"radius","treatment_var","overall_att","overall_se","conf_low","conf_high"
"300 km","btreat_300KM2",-0.0290022724026126,0.0391929004122511,-0.105820357210625,0.0478158124053995
"400 km","btreat_400KM2",-0.0915253162149919,0.0385060019824415,-0.166997080100577,-0.0160535523294067
"500 km","btreat_500KM2",-0.114528477109623,0.0381075867339877,-0.189219347108239,-0.0398376071110074
